Location,Latitude,Longitude,Positive,Recovered,Death,Discharged,Male,Female,Info_Positive,Info_Recovered,Info_Death,Info_Discharged
AdarshNagar,26.9043294,75.8263336,32,11,1,11,21,11,,,,
Ambabari,26.9442536,75.7757547,4,0,0,0,2,2,,,,
Amer,26.9842064,75.8477345,6,3,1,3,5,1,,,,
Bajaj Nagar,26.865575,75.801622,1,0,0,0,1,0,,,,
Banipark,26.9318908,75.7936972,3,3,0,3,3,0,,,,
Bapu Nagar,26.8890558,75.8040896,3,2,0,2,1,2,,,,
Bassi,26.841586,76.052637,3,1,0,1,3,0,,,,
Beelwa,26.7610159,75.857597,3,0,0,0,3,0,,,,
Bhatta Basti,26.9482038,75.8045029,20,6,2,6,11,9,,,,
Brahmpuri,26.9388062,75.8246601,9,2,0,2,3,6,,,,
Chandpole,26.9258329,75.8124076,45,19,5,19,30,15,,,,
Choti Choupad,26.9251517,75.8181689,25,18,3,18,12,13,,,,
Civil Lines,26.906064,75.784404,3,2,0,2,2,1,,,,
C-scheme,26.9145293,75.8038341,3,1,1,0,2,1,,,,
Dudu,26.6831152,75.2300851,3,2,1,2,3,0,,,,
Durgapura,26.8622161,75.7827601,3,0,0,0,1,2,,,,
EIDGAH,26.9309203,75.8457513,28,11,3,11,20,8,,,,
Gandhi Nagar,26.880167,75.80582,5,4,0,4,3,2,,,,
Gangapole,26.9358288,75.8393221,25,24,0,24,12,13,,,,
Ghatgate,26.916934,75.8334706,242,47,5,46,217,25,,,,
Gopalpura,26.859765,75.791536,1,0,0,0,1,0,,,,
Hasanpura,26.923158,75.7793776,11,3,0,3,4,7,,,,
Heerapura,26.8934026,75.7280373,1,1,0,1,1,0,,,,
Jagatpura,26.8200557,75.8623743,7,5,0,5,4,3,,,,
Jaisinghpura Khor,26.950426,75.879382,3,2,0,2,3,0,,,,
Jalupura,26.9242854,75.8067982,27,13,3,12,16,11,,,,
Jamdoli,26.9063204,75.883671,4,3,0,3,2,2,,,,
Jamwaramgarh,27.0229464,76.0020661,5,2,1,2,3,2,,,,
Jawahar Nagar,26.891245,75.839675,2,1,0,1,2,0,,,,
Jhotwara,26.9571642,75.7458086,17,7,1,7,13,4,,,,
Jobner,26.9701168,75.3745535,1,0,1,0,1,0,,,,
Johari Bazar,26.9190302,75.8158836,46,38,1,38,37,9,,,,
Kalwar Road,26.9454297,75.7169188,2,1,0,1,1,1,,,,
Khonagoriyan,26.8692089,75.8580664,5,5,0,5,3,2,,,,
Kotputli,27.7115386,76.1928462,2,1,0,1,2,0,,,,
Mahesh Nagar,26.8801092,75.7838074,2,2,0,2,2,0,,,,
Malviya Nagar,26.8531061,75.8179148,7,4,0,4,5,2,,,,
Manak Chok,26.9235945,75.8267985,33,29,2,28,22,11,,,,
Mansarovar,26.8551284,75.7631365,10,6,2,6,7,3,,,,
MD Road,26.8944777,75.8142849,76,68,1,67,50,26,,,,
Meena paldi,26.8769257,75.8923867,13,11,1,11,4,9,,,,
MI Road,26.917275,75.8064837,4,1,0,1,0,4,,,,
Murlipura ,26.9789181,75.7636213,13,6,1,6,7,6,,,,
Nahari ka Naka,26.9379454,75.8037943,50,24,2,24,29,21,,,,
Nirman Nagar,26.8875652,75.7426205,1,1,0,1,0,1,,,,
Out,26.8287791,75.7981291,2,2,0,2,1,1,,,,
Phagi,26.5833452,75.5739642,3,1,0,1,1,2,,,,
Pratap nagar,26.8026797,75.8258124,4,3,0,2,4,0,,,,
Purani Basti,26.9307001,75.8123587,36,26,1,24,29,7,,,,
Rajapark,26.8962614,75.8304595,5,4,1,4,4,1,,,,
Ramganj,26.9193749,75.8293023,605,523,16,507,361,244,,,,
Ramgarh Road,26.9473058,75.8420523,3,1,1,1,2,1,,,,
Sambhar,26.909925,75.189747,2,0,0,0,2,0,,,,
Samod,27.20603,75.799383,2,0,0,0,2,0,,,,
Sanganer,26.8248845,75.7666774,29,17,1,16,19,10,,,,
Sanganeri Gate,26.9156553,75.8242943,4,1,0,1,2,2,,,,
Sanjay Nagar,26.9020263,75.7459448,3,2,0,2,1,2,,,,
Sethi Colony,26.9055065,75.841127,3,2,0,2,3,0,,,,
Shahpura,27.3899618,75.960367,1,0,1,0,0,1,,,,
Shastri Nagar,26.94178,75.79743,62,23,5,23,42,20,,,,
Sindhi camp,26.9233153,75.7987684,2,0,1,0,0,2,,,,
Sirsi,26.910229,75.678065,2,1,0,1,1,1,,,,
Sitapura,26.7777834,75.8512559,2,2,0,1,1,1,,,,
SMS,26.9057433,75.8159738,20,10,0,10,12,8,,,,
Sodala,26.9083625,75.7715444,12,7,1,7,9,3,,,,
Subhash Chowk,26.9299573,75.8316669,23,9,4,7,19,4,,,,
Tonk Phatak,26.8809291,75.7906418,3,2,0,2,2,1,,,,
Tonk Road,26.8629883,75.791645,13,9,0,9,7,6,,,,
Transport Nagar,26.909154,75.846146,4,0,1,0,3,1,,,,
Vaishalinagar,26.9080072,75.7493003,3,3,0,3,1,2,,,,
Vidhyadhar Nagar,26.9617625,75.7770022,5,4,0,4,3,2,,,,
Virat Nagar,27.431281,76.187546,2,1,0,1,1,1,,,,
VKI,27.0026343,75.7898814,1,0,0,0,1,0,,,,
